"A 시군구별",Y2023 2023,Y2023 2023
"A 시군구별",T1 출생아수,T2 합계출산율
"36570 화순군",213,0.898
"36580 장흥군",137,1.257
"36590 강진군",156,1.468
"36600 해남군",258,1.356
"36610 영암군",187,1.009
"36620 무안군",472,0.968
"36630 함평군",100,1.217
"36640 영광군",362,1.651
"36650 장성군",172,1.152
"36660 완도군",145,1.048
"36670 진도군",81,0.908
"36680 신안군",102,1.164
"37 경상북도",10186,0.860
"37010 포항시",2040,0.848
"37011 남구",864,0.814
"37012 북구",1176,0.875
"37020 경주시",981,0.909
"37030 김천시",675,1.062
"37040 안동시",600,0.887
"37050 구미시",1861,0.710
"37060 영주시",302,0.863
"37070 영천시",465,1.189
"37080 상주시",292,0.978
"37090 문경시",214,0.917
"37100 경산시",1179,0.807
"37520 의성군",177,1.406
"37530 청송군",77,1.334
"37540 영양군",30,0.755
"37550 영덕군",81,0.864
"37560 청도군",97,0.909
"37570 고령군",89,1.038
"37580 성주군",147,1.169
"37590 칠곡군",336,0.646
"37600 예천군",282,1.184
"37610 봉화군",59,0.915
"37620 울진군",176,1.053
"37630 울릉군",26,0.789
"38 경상남도",13049,0.799
"38030 진주시",1666,0.887
"38050 통영시",343,0.711
"38060 사천시",399,0.909
"38070 김해시",2513,0.838
"38080 밀양시",264,0.741
"38090 거제시",816,0.717
"38100 양산시",1682,0.806
"38110 창원시",4377,0.774
"38111 의창구",957,0.770
"38112 성산구",1226,0.770
"38113 마산합포구",737,0.811
"38114 마산회원구",576,0.659
"38115 진해구",881,0.873
"38510 의령군",53,0.746
"38520 함안군",145,0.728
"38530 창녕군",138,0.810
"38540 고성군",85,0.619
"38550 남해군",69,0.661
"38560 하동군",90,0.868
"38570 산청군",62,0.764
"38580 함양군",78,0.734
"38590 거창군",211,1.020
"38600 합천군",58,0.636
"39 제주특별자치도",3222,0.827
"39010 제주시",2516,0.844
"39020 서귀포시",706,0.767
